Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
ForthCT-RRT,Forth,,,RRT,CT,,0.3422,0.4128,0.2491,0.3323,0.5564
ForthCTBB,Forth,BB,,,CT,,0.3254,0.5652,0.2995,0.3162,0.5798
ForthCTBB-RRT,Forth,BB,,RRT,CT,,0.3406,0.4348,0.2997,0.3162,0.5812
ForthCTSegment,Forth,Segment,,,CT,,0.2625,0.5736,0.3268,0.3149,0.5862
ForthCTSegment-RRT,Forth,Segment,,RRT,CT,,0.2827,0.4477,0.3273,0.3149,0.5899
ForthR,Forth,,,,,R,0.2853,0.2120,0.1262,0.2973,0.2738
ForthR-RRT,Forth,,,RRT,,R,0.3097,0.1940,0.1262,0.2973,0.2738
ForthRBB,Forth,BB,,,,R,0.2704,0.3065,0.1875,0.2358,0.3309
ForthRBB-RRT,Forth,BB,,RRT,,R,0.2934,0.2618,0.1840,0.2358,0.3309
ForthRCT,Forth,,,,CT,R,0.3358,0.5493,0.2490,0.3323,0.5554
ForthRCT-RRT,Forth,,,RRT,CT,R,0.3422,0.4128,0.2491,0.3323,0.5564
ForthRCTBB,Forth,BB,,,CT,R,0.3254,0.5652,0.2995,0.3162,0.5798
ForthRCTBB-RRT,Forth,BB,,RRT,CT,R,0.3406,0.4348,0.2997,0.3162,0.5812
ForthRCTSegment,Forth,Segment,,,CT,R,0.2625,0.5736,0.3268,0.3149,0.5862
ForthRCTSegment-RRT,Forth,Segment,,RRT,CT,R,0.2827,0.4477,0.3273,0.3149,0.5899
ForthRSegment,Forth,Segment,,,,R,0.2577,0.3597,0.2852,0.2427,0.3894
ForthRSegment-RRT,Forth,Segment,,RRT,,R,0.2803,0.3133,0.2752,0.2427,0.3894
ForthSegment,Forth,Segment,,,,,0.1792,0.3774,0.3346,0.2468,0.3446
ForthSegment-RRT,Forth,Segment,,RRT,,,0.2354,0.3210,0.3269,0.2468,0.3352
ReCOSIACTTEC,COSIATEC,,RecurSIA,,CT,,0.1517,0.1110,0.0517,0.1855,0.1746
ReCOSIACTTEC-RRT,COSIATEC,,RecurSIA,RRT,CT,,0.1789,0.1114,0.0517,0.1855,0.1871
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,,CT,,0.1470,0.1681,0.0963,0.2170,0.2147
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,,0.1728,0.1786,0.0963,0.2170,0.2300
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,,CT,,0.1213,0.3275,0.2524,0.3342,0.3001
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,,0.1292,0.3268,0.2524,0.3342,0.3175
ReCOSIARCTTEC,COSIATEC,,RecurSIA,,CT,R,0.1517,0.1110,0.0517,0.1855,0.1708
ReCOSIARCTTEC-RRT,COSIATEC,,RecurSIA,RRT,CT,R,0.1789,0.1114,0.0517,0.1855,0.1825
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,,CT,R,0.1470,0.1681,0.0963,0.2170,0.2108
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,0.1728,0.1786,0.0963,0.2170,0.2251
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,,CT,R,0.1213,0.3275,0.2524,0.3342,0.2931
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,0.1292,0.3268,0.2524,0.3342,0.3098
ReCOSIARTEC,COSIATEC,,RecurSIA,,,R,0.1243,0.0889,0.0350,0.0991,0.1212
ReCOSIARTEC-RRT,COSIATEC,,RecurSIA,RRT,,R,0.1446,0.0816,0.0391,0.0991,0.1098
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,,,R,0.1253,0.2526,0.1603,0.2472,0.2322
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,,R,0.1590,0.2998,0.1496,0.2472,0.2125
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,,,R,0.1186,0.4303,0.3559,0.3637,0.3654
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,,R,0.1388,0.5107,0.3482,0.3637,0.3942
ReCOSIATEC,COSIATEC,,RecurSIA,,,,0.1805,0.1015,0.0522,0.1355,0.1439
ReCOSIATEC-RRT,COSIATEC,,RecurSIA,RRT,,,0.1486,0.0827,0.0403,0.1355,0.1355
ReCOSIATECBB,COSIATEC,BB,RecurSIA,,,,0.1905,0.3503,0.1394,0.2495,0.2595
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,,,0.1684,0.2588,0.1248,0.2495,0.2668
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,,,,0.1736,0.5093,0.2998,0.3646,0.4116
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,,,0.1474,0.4910,0.3307,0.3646,0.4147
ReForth,Forth,,RecurSIA,,,,0.1612,0.2180,0.1268,0.2536,0.2142
ReForth-RRT,Forth,,RecurSIA,RRT,,,0.1455,0.2051,0.1216,0.2536,0.2087
ReForthBB,Forth,BB,RecurSIA,,,,0.1629,0.3792,0.2525,0.2360,0.3398
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,,,0.1661,0.3656,0.2493,0.2360,0.3332
ReForthCT,Forth,,RecurSIA,,CT,,0.3155,0.3991,0.2020,0.2994,0.3860
ReForthCT-RRT,Forth,,RecurSIA,RRT,CT,,0.3621,0.3300,0.2020,0.2994,0.3807
ReForthCTBB,Forth,BB,RecurSIA,,CT,,0.3118,0.5130,0.3160,0.3070,0.4659
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,,0.3614,0.4665,0.3161,0.3070,0.4599
ReForthCTSegment,Forth,Segment,RecurSIA,,CT,,0.2536,0.5353,0.3384,0.3106,0.4796
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,,0.2778,0.4749,0.3387,0.3106,0.4761
ReForthR,Forth,,RecurSIA,,,R,0.2522,0.2272,0.1262,0.2385,0.2418
ReForthR-RRT,Forth,,RecurSIA,RRT,,R,0.2693,0.2129,0.1324,0.2385,0.2385
ReForthRBB,Forth,BB,RecurSIA,,,R,0.2407,0.4887,0.2718,0.2184,0.3703
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,,R,0.2569,0.3957,0.2768,0.2184,0.3413
ReForthRCT,Forth,,RecurSIA,,CT,R,0.3155,0.3991,0.2020,0.2994,0.3860
ReForthRCT-RRT,Forth,,RecurSIA,RRT,CT,R,0.3621,0.3300,0.2020,0.2994,0.3807
ReForthRCTBB,Forth,BB,RecurSIA,,CT,R,0.3118,0.5130,0.3160,0.3070,0.4659
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,0.3614,0.4665,0.3161,0.3070,0.4599
ReForthRCTSegment,Forth,Segment,RecurSIA,,CT,R,0.2536,0.5353,0.3384,0.3106,0.4796
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,0.2778,0.4749,0.3387,0.3106,0.4761
ReForthRSegment,Forth,Segment,RecurSIA,,,R,0.2175,0.5378,0.3293,0.2243,0.4213
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,,R,0.2322,0.4464,0.3314,0.2243,0.3914
ReForthSegment,Forth,Segment,RecurSIA,,,,0.1792,0.4250,0.3523,0.2342,0.4068
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,,,0.2354,0.3961,0.3341,0.2342,0.3960
ReSIACTTECCompress,SIATECCompress,,RecurSIA,,CT,,0.1859,0.1514,0.0881,0.1921,0.1990
ReSIACTTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,CT,,0.1754,0.1545,0.0881,0.1849,0.1980
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,,CT,,0.1838,0.2583,0.1684,0.2857,0.2704
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,,0.1741,0.2730,0.1684,0.2895,0.2697
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,,CT,,0.1517,0.2854,0.2122,0.2765,0.3129
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,,0.1424,0.2991,0.2123,0.2807,0.3144
ReSIARCTTECCompress,SIATECCompress,,RecurSIA,,CT,R,0.1859,0.1514,0.0881,0.1921,0.1990
ReSIARCTTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,CT,R,0.1754,0.1545,0.0881,0.1849,0.1980
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,,CT,R,0.1838,0.2583,0.1684,0.2857,0.2704
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,0.1741,0.2730,0.1684,0.2895,0.2697
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,,CT,R,0.1517,0.2854,0.2122,0.2765,0.3129
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,0.1424,0.2991,0.2123,0.2807,0.3144
ReSIARTECCompress,SIATECCompress,,RecurSIA,,,R,0.1187,0.1043,0.0509,0.1802,0.1120
ReSIARTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,,R,0.1622,0.1083,0.0515,0.1802,0.1155
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,,,R,0.1551,0.3104,0.2293,0.3360,0.2893
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,,R,0.1916,0.3397,0.2363,0.3360,0.3086
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,,,R,0.1610,0.4669,0.4057,0.3579,0.4361
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,,R,0.1999,0.4986,0.4153,0.3579,0.4548
ReSIATECCompress,SIATECCompress,,RecurSIA,,,,0.1690,0.0994,0.0552,0.1456,0.1449
ReSIATECCompress-RRT,SIATECCompress,,RecurSIA,RRT,,,0.1776,0.1069,0.0537,0.1456,0.1335
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,,,,0.2214,0.3253,0.1852,0.2700,0.3318
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,,,0.2090,0.3189,0.1942,0.2700,0.3094
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,,,,0.2489,0.5051,0.3671,0.3555,0.4370
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,,,0.2251,0.4883,0.3738,0.3555,0.4268
SIACTTECCompress,SIATECCompress,,,,CT,,0.2817,0.1974,0.1192,0.1909,0.3126
SIACTTECCompress-RRT,SIATECCompress,,,RRT,CT,,0.2439,0.1966,0.1192,0.1855,0.3126
SIACTTECCompressBB,SIATECCompress,BB,,,CT,,0.2741,0.2399,0.1738,0.2417,0.3530
SIACTTECCompressBB-RRT,SIATECCompress,BB,,RRT,CT,,0.2398,0.2403,0.1739,0.2350,0.3530
SIACTTECCompressSegment,SIATECCompress,Segment,,,CT,,0.2330,0.2544,0.2302,0.2320,0.3727
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,CT,,0.2041,0.2632,0.2302,0.2248,0.3727
SIARCTTECCompress,SIATECCompress,,,,CT,R,0.2817,0.1974,0.1192,0.1909,0.3126
SIARCTTECCompress-RRT,SIATECCompress,,,RRT,CT,R,0.2439,0.1966,0.1192,0.1855,0.3126
SIARCTTECCompressBB,SIATECCompress,BB,,,CT,R,0.2741,0.2399,0.1738,0.2417,0.3530
SIARCTTECCompressBB-RRT,SIATECCompress,BB,,RRT,CT,R,0.2398,0.2403,0.1739,0.2350,0.3530
SIARCTTECCompressSegment,SIATECCompress,Segment,,,CT,R,0.2330,0.2544,0.2302,0.2320,0.3727
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,CT,R,0.2041,0.2632,0.2302,0.2248,0.3727
SIARTECCompress,SIATECCompress,,,,,R,0.1892,0.1838,0.0937,0.1803,0.1817
SIARTECCompress-RRT,SIATECCompress,,,RRT,,R,0.2478,0.1829,0.0964,0.1803,0.1778
SIARTECCompressBB,SIATECCompress,BB,,,,R,0.2521,0.4783,0.3902,0.3179,0.4182
SIARTECCompressBB-RRT,SIATECCompress,BB,,RRT,,R,0.2710,0.4785,0.3924,0.3179,0.4151
SIARTECCompressSegment,SIATECCompress,Segment,,,,R,0.2443,0.6102,0.6040,0.3852,0.5608
SIARTECCompressSegment-RRT,SIATECCompress,Segment,,RRT,,R,0.2554,0.6184,0.6137,0.3852,0.5570
SIATECCompress,SIATECCompress,,,,,,0.2081,0.1765,0.1095,0.1825,0.2400
SIATECCompress-RRT,SIATECCompress,,,RRT,,,0.2576,0.1720,0.1009,0.1825,0.2262
SIATECCompressBB,SIATECCompress,BB,,,,,0.2680,0.4865,0.3408,0.3243,0.4736
SIATECCompressBB-RRT,SIATECCompress,BB,,RRT,,,0.2877,0.4551,0.3440,0.3243,0.4462
SIATECCompressSegment,SIATECCompress,Segment,,,,,0.2828,0.6482,0.5518,0.3961,0.5558
SIATECCompressSegment-RRT,SIATECCompress,Segment,,RRT,,,0.2893,0.6173,0.5502,0.3961,0.5473
